adm0_a3,pays,groupe,taux
AUT,Autriche,UE-15,5.2
BEL,Belgique,UE-15,8.5
DNK,Danemark,UE-15,4.8
FIN,Finlande,UE-15,8.4
FRA,France,UE-15,9.3
DEU,Allemagne,UE-15,11.3
GRC,Grece,UE-15,9.9
IRL,Irlande,UE-15,4.4
ITA,Italie,UE-15,7.7
LUX,Luxembourg,UE-15,
NLD,Pays-Bas,UE-15,5.9
PRT,Portugal,UE-15,8.6
ESP,Espagne,UE-15,9.2
SWE,Suede,UE-15,7.7
GBR,Royaume-Uni,UE-15,4.8
CYP,Chypre,elargissement-2004,
CZE,Tchequie,elargissement-2004,
EST,Estonie,elargissement-2004,
HUN,Hongrie,elargissement-2004,
LVA,Lettonie,elargissement-2004,
LTU,Lituanie,elargissement-2004,
MLT,Malte,elargissement-2004,
POL,Pologne,elargissement-2004,17.7
SVK,Slovaquie,elargissement-2004,
SVN,Slovenie,elargissement-2004,
BGR,Bulgarie,adhesion-2007,
ROU,Roumanie,adhesion-2007,
NOR,Norvege,hors-UE,4.6
CHE,Suisse,hors-UE,4.4
