adm0_a3,pays,annee,taux
DEU,Allemagne,2016,3.9
AUT,Autriche,2016,6.5
BEL,Belgique,2016,7.9
BGR,Bulgarie,2016,8.6
CYP,Chypre,2016,13.0
HRV,Croatie,2016,13.0
DNK,Danemark,2016,6.0
ESP,Espagne,2016,19.6
EST,Estonie,2016,6.8
FIN,Finlande,2016,8.9
FRA,France,2016,10.1
GRC,Grèce,2016,23.9
HUN,Hongrie,2016,5.0
IRL,Irlande,2016,8.4
ISL,Islande,2016,3.0
ITA,Italie,2016,11.7
LVA,Lettonie,2016,9.7
LTU,Lituanie,2016,7.9
LUX,Luxembourg,2016,6.3
MKD,Macédoine du Nord,2016,23.7
MLT,Malte,2016,4.7
NOR,Norvège,2016,4.9
NLD,Pays-Bas,2016,7.0
POL,Pologne,2016,6.3
PRT,Portugal,2016,11.5
ROU,Roumanie,2016,7.2
SRB,Serbie,2016,16.5
SVK,Slovaquie,2016,9.6
SVN,Slovénie,2016,8.0
CHE,Suisse,2016,5.0
SWE,Suède,2016,7.1
CZE,Tchéquie,2016,4.0
TUR,Türkiye,2016,10.9
DEU,Allemagne,2017,3.5
AUT,Autriche,2017,5.9
BEL,Belgique,2017,7.2
BGR,Bulgarie,2017,7.2
CYP,Chypre,2017,11.1
HRV,Croatie,2017,11.1
DNK,Danemark,2017,5.8
ESP,Espagne,2017,17.2
EST,Estonie,2017,5.8
FIN,Finlande,2017,8.7
FRA,France,2017,9.4
GRC,Grèce,2017,21.8
HUN,Hongrie,2017,4.0
IRL,Irlande,2017,6.7
ISL,Islande,2017,2.7
ITA,Italie,2017,11.3
LVA,Lettonie,2017,8.7
LTU,Lituanie,2017,7.1
LUX,Luxembourg,2017,5.5
MKD,Macédoine du Nord,2017,22.4
MLT,Malte,2017,4.0
NOR,Norvège,2017,4.4
NLD,Pays-Bas,2017,5.9
POL,Pologne,2017,5.0
PRT,Portugal,2017,9.2
ROU,Roumanie,2017,6.1
SRB,Serbie,2017,14.6
SVK,Slovaquie,2017,8.1
SVN,Slovénie,2017,6.6
CHE,Suisse,2017,4.8
SWE,Suède,2017,6.8
CZE,Tchéquie,2017,2.9
TUR,Türkiye,2017,10.9
DEU,Allemagne,2018,3.2
AUT,Autriche,2018,5.2
BEL,Belgique,2018,6.0
BGR,Bulgarie,2018,6.2
CYP,Chypre,2018,8.4
HRV,Croatie,2018,8.3
DNK,Danemark,2018,5.1
ESP,Espagne,2018,15.3
EST,Estonie,2018,5.4
FIN,Finlande,2018,7.5
FRA,France,2018,9.0
GRC,Grèce,2018,19.7
HUN,Hongrie,2018,3.6
IRL,Irlande,2018,5.8
ISL,Islande,2018,2.7
ITA,Italie,2018,10.6
LVA,Lettonie,2018,7.4
LTU,Lituanie,2018,6.2
LUX,Luxembourg,2018,5.6
MKD,Macédoine du Nord,2018,20.8
MLT,Malte,2018,4.0
NOR,Norvège,2018,4.0
NLD,Pays-Bas,2018,4.9
POL,Pologne,2018,3.9
PRT,Portugal,2018,7.2
ROU,Roumanie,2018,5.3
SRB,Serbie,2018,13.8
SVK,Slovaquie,2018,6.5
SVN,Slovénie,2018,5.1
CHE,Suisse,2018,4.7
SWE,Suède,2018,6.5
CZE,Tchéquie,2018,2.2
TUR,Türkiye,2018,10.9
DEU,Allemagne,2019,2.9
AUT,Autriche,2019,4.8
BEL,Belgique,2019,5.5
BGR,Bulgarie,2019,5.2
CYP,Chypre,2019,7.2
HRV,Croatie,2019,6.6
DNK,Danemark,2019,5.0
ESP,Espagne,2019,14.1
EST,Estonie,2019,4.5
FIN,Finlande,2019,6.8
FRA,France,2019,8.4
GRC,Grèce,2019,17.9
HUN,Hongrie,2019,3.3
IRL,Irlande,2019,5.0
ISL,Islande,2019,3.5
ITA,Italie,2019,9.9
LVA,Lettonie,2019,6.3
LTU,Lituanie,2019,6.3
LUX,Luxembourg,2019,5.6
MKD,Macédoine du Nord,2019,17.3
