annee,pib_hab
1950,8266
1951,8705
1952,8869
1953,9060
1954,9428
1955,9881
1956,10278
1957,10779
1958,10927
1959,11124
1960,11792
1961,12302
1962,12859
1963,13330
1964,14057
1965,14609
1966,15213
1967,15792
1968,16365
1969,17352
1970,18187
1971,18881
1972,19549
1973,20441
1974,20902
1975,20653
1976,21465
1977,22177
1978,22698
1979,23326
1980,23537
1981,23655
1982,24120
1983,24300
1984,24519
1985,24755
1986,25238
1987,25756
1988,26763
1989,27576
1990,28129
1991,28294
1992,28620
1993,28336
1994,28908
1995,29419
1996,29737
1997,30342
1998,31323
1999,32285
2000,33410
2001,33920
2002,34153
2003,34292
2004,35094
2005,35495
2006,36166
2007,36846
2008,36762
2009,35535
2010,36087
2011,36691
2012,36626
2013,36647
2014,36819
2015,37078
2016,37344
2017,38037
2018,38555
2019,39085
2020,35914
2021,38242
2022,39066
